year,sum_mln,organisation_name,organisation_type_name,organisation_type_code,region_code,region_name,gov_support_type
2013,181643.8333,"Государственная корпорация по атомной энергии ""Росатом""",Государственная корпорация,40,77,Москва,subsidies
2014,391.0679,"Государственная корпорация по атомной энергии ""Росатом""",Государственная корпорация,40,77,Москва,subsidies
2015,351.9611,"Государственная корпорация по атомной энергии ""Росатом""",Государственная корпорация,40,77,Москва,subsidies
2016,14797.8831,"Государственная корпорация по атомной энергии ""Росатом""",Государственная корпорация,40,77,Москва,subsidies
2017,65690.705,"Государственная корпорация по атомной энергии ""Росатом""",Государственная корпорация,40,77,Москва,subsidies
2013,191701.8074,Государственная корпорация - Фонд содействия реформированию жилищно-коммунального хозяйства,Государственная корпорация,40,77,Москва,subsidies
2014,4617.94636168,"Государственная корпорация по содействию разработке, производству и экспорту высокотехнологичной промышленной продукции ""Ростехнологии""",Государственная корпорация,40,77,Москва,subsidies
2015,74820.65196044001,"Государственная корпорация по содействию разработке, производству и экспорту высокотехнологичной промышленной продукции ""Ростехнологии""",Государственная корпорация,40,77,Москва,subsidies
2016,9762.3167688,"Государственная корпорация по содействию разработке, производству и экспорту высокотехнологичной промышленной продукции ""Ростехнологии""",Государственная корпорация,40,77,Москва,subsidies
2011,2507.6204,Некоммерческая организация Фонд развития Центра разработки и коммерциализации новых технологий,Некоммерческий фонд,6,77,Москва,subsidies
2014,25624.5,Некоммерческая организация Фонд развития Центра разработки и коммерциализации новых технологий,Некоммерческий фонд,6,77,Москва,subsidies
2015,18958.5241,Некоммерческая организация Фонд развития Центра разработки и коммерциализации новых технологий,Некоммерческий фонд,6,77,Москва,subsidies
2016,12614.3767,Некоммерческая организация Фонд развития Центра разработки и коммерциализации новых технологий,Некоммерческий фонд,6,77,Москва,subsidies
2017,11170.1988,Некоммерческая организация Фонд развития Центра разработки и коммерциализации новых технологий,Некоммерческий фонд,6,77,Москва,subsidies
2014,13271.6416,"Автономная некоммерческая организация ""ТВ-новости""",Автономная некоммерческая организация,4,77,Москва,subsidies
2015,20846.1564,"Автономная некоммерческая организация ""ТВ-новости""",Автономная некоммерческая организация,4,77,Москва,subsidies
2016,17517.6363,"Автономная некоммерческая организация ""ТВ-новости""",Автономная некоммерческая организация,4,77,Москва,subsidies
2017,18736.1905,"Автономная некоммерческая организация ""ТВ-новости""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,6040,Федеральный фонд социальной и экономической поддержки отечественной кинематографии,Некоммерческий фонд,6,77,Москва,subsidies
2015,730,Федеральный фонд социальной и экономической поддержки отечественной кинематографии,Некоммерческий фонд,6,77,Москва,subsidies
2016,4300,Федеральный фонд социальной и экономической поддержки отечественной кинематографии,Некоммерческий фонд,6,77,Москва,subsidies
2017,1e4,Федеральный фонд социальной и экономической поддержки отечественной кинематографии,Некоммерческий фонд,6,77,Москва,subsidies
2014,20.296,"Общественно-государственное объединение ""Всероссийское физкультурно-спортивное общество ""Динамо""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2015,27,"Общественно-государственное объединение ""Всероссийское физкультурно-спортивное общество ""Динамо""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2016,224.3,"Общественно-государственное объединение ""Всероссийское физкультурно-спортивное общество ""Динамо""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2017,222.842,"Общественно-государственное объединение ""Всероссийское физкультурно-спортивное общество ""Динамо""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2010,1445.7449,Российская Академия Наук,Государственно-общественное объединение,31,00,Министерство юстиции,subsidies
2014,3349.261,Российская Академия Наук,Государственно-общественное объединение,31,00,Министерство юстиции,subsidies
2015,5050.7333,Российская Академия Наук,Государственно-общественное объединение,31,00,Министерство юстиции,subsidies
2016,1456.1218,Российская Академия Наук,Государственно-общественное объединение,31,00,Министерство юстиции,subsidies
2017,1382.4601,Российская Академия Наук,Государственно-общественное объединение,31,00,Министерство юстиции,subsidies
2014,2694.0201,"Автономная некоммерческая организация ""Организационный комитет ""Россия-2018""",Автономная некоммерческая организация,4,77,Москва,subsidies
2016,1070.3792,"Автономная некоммерческая организация ""Организационный комитет ""Россия-2018""",Автономная некоммерческая организация,4,77,Москва,subsidies
2017,5413.4393,"Автономная некоммерческая организация ""Организационный комитет ""Россия-2018""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,226.575,"Автономная некоммерческая организация ""Арена - 2018""",Автономная некоммерческая организация,4,77,Москва,subsidies
2015,461.2045,"Автономная некоммерческая организация ""Арена - 2018""",Автономная некоммерческая организация,4,77,Москва,subsidies
2016,3488.92,"Автономная некоммерческая организация ""Арена - 2018""",Автономная некоммерческая организация,4,77,Москва,subsidies
2001,7897.120926,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",Политическая партия,12,00,Министерство юстиции,subsidies
2005,2688.321359,Независимый профсоюз организации работников главного финансового управления Администрации Кемеровской области,Профессиональный союз,2,42,Кемеровская область,subsidies
2006,96.1192,Независимый профсоюз организации работников главного финансового управления Администрации Кемеровской области,Профессиональный союз,2,42,Кемеровская область,subsidies
2007,2780.4289,Независимый профсоюз организации работников главного финансового управления Администрации Кемеровской области,Профессиональный союз,2,42,Кемеровская область,subsidies
2011,730.4512991900001,Независимый профсоюз организации работников главного финансового управления Администрации Кемеровской области,Профессиональный союз,2,42,Кемеровская область,subsidies
2013,581.8211,Независимый профсоюз организации работников главного финансового управления Администрации Кемеровской области,Профессиональный союз,2,42,Кемеровская область,subsidies
2015,54.516,Независимый профсоюз организации работников главного финансового управления Администрации Кемеровской области,Профессиональный союз,2,42,Кемеровская область,subsidies
2016,235.818581,Независимый профсоюз организации работников главного финансового управления Администрации Кемеровской области,Профессиональный союз,2,42,Кемеровская область,subsidies
2017,144.89150066,Независимый профсоюз организации работников главного финансового управления Администрации Кемеровской области,Профессиональный союз,2,42,Кемеровская область,subsidies
2014,5310.0724,"Автономная некоммерческая организация ""Единая транспортная дирекция""",Автономная некоммерческая организация,4,23,Краснодарский край,subsidies
2015,741.8716,"Автономная некоммерческая организация ""Единая транспортная дирекция""",Автономная некоммерческая организация,4,23,Краснодарский край,subsidies
2016,421.304921,"Автономная некоммерческая организация ""Единая транспортная дирекция""",Автономная некоммерческая организация,4,23,Краснодарский край,subsidies
2017,580.8401,"Автономная некоммерческая организация ""Единая транспортная дирекция""",Автономная некоммерческая организация,4,23,Краснодарский край,subsidies
2014,1440,"автономная некоммерческая организация ""Общественное телевидение России""",Автономная некоммерческая организация,4,77,Москва,subsidies
2015,1438.2284,"автономная некоммерческая организация ""Общественное телевидение России""",Автономная некоммерческая организация,4,77,Москва,subsidies
2016,1349.8,"автономная некоммерческая организация ""Общественное телевидение России""",Автономная некоммерческая организация,4,77,Москва,subsidies
2017,1500,"автономная некоммерческая организация ""Общественное телевидение России""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,4900,"Автономная некоммерческая организация ""Агентство по проведению Церемоний""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,2222.335,Фонд инфраструктурных и образовательных программ,Некоммерческий фонд,6,77,Москва,subsidies
2015,1951.965,Фонд инфраструктурных и образовательных программ,Некоммерческий фонд,6,77,Москва,subsidies
2015,581.6766,"Образовательный Фонд ""Талант и успех""",Некоммерческий фонд,6,23,Краснодарский край,subsidies
2016,1346.2788141400001,"Образовательный Фонд ""Талант и успех""",Некоммерческий фонд,6,23,Краснодарский край,subsidies
2017,1284.2511,"Образовательный Фонд ""Талант и успех""",Некоммерческий фонд,6,23,Краснодарский край,subsidies
2014,379.823,Благотворительный фонд по восстановлению Воскресенского Ново-Иерусалимского ставропигиального мужского монастыря Русской Православной Церкви,Некоммерческий фонд,6,77,Москва,subsidies
2015,855,Благотворительный фонд по восстановлению Воскресенского Ново-Иерусалимского ставропигиального мужского монастыря Русской Православной Церкви,Некоммерческий фонд,6,77,Москва,subsidies
2016,1030.1,Благотворительный фонд по восстановлению Воскресенского Ново-Иерусалимского ставропигиального мужского монастыря Русской Православной Церкви,Некоммерческий фонд,6,77,Москва,subsidies
2017,85,Благотворительный фонд по восстановлению Воскресенского Ново-Иерусалимского ставропигиального мужского монастыря Русской Православной Церкви,Некоммерческий фонд,6,77,Москва,subsidies
2014,4,"Автономная некоммерческая организация ""Хоккейный клуб ""Салават Юлаев""",Автономная некоммерческая организация,4,02,Республика Башкортостан,subsidies
2014,674,"Общероссийский общественный  фонд ""Национальный благотворительный фонд"".",Общественный фонд,11,00,Министерство юстиции,subsidies
2015,585.607,"Общероссийский общественный  фонд ""Национальный благотворительный фонд"".",Общественный фонд,11,00,Министерство юстиции,subsidies
2016,640,"Общероссийский общественный  фонд ""Национальный благотворительный фонд"".",Общественный фонд,11,00,Министерство юстиции,subsidies
2014,540,"Общероссийская общественная организация ""Российский Союз Молодежи""",Общественная организация,1,00,Министерство юстиции,subsidies
2015,695.64,"Общероссийская общественная организация ""Российский Союз Молодежи""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,602,"Общероссийская общественная организация ""Российский Союз Молодежи""",Общественная организация,1,00,Министерство юстиции,subsidies
2001,1894.490336,Политическая партия ЛДПР - Либерально-демократическая партия России,Политическая партия,12,00,Министерство юстиции,subsidies
2014,1685.64,"Автономная некоммерческая организация ""Спортивное вещание""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,824,"Общероссийская общественная организация ""ЛИГА ЗДОРОВЬЯ НАЦИИ""",Общественная организация,1,00,Министерство юстиции,subsidies
2015,519.968,"Общероссийская общественная организация ""ЛИГА ЗДОРОВЬЯ НАЦИИ""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,450,"Общероссийская общественная организация ""ЛИГА ЗДОРОВЬЯ НАЦИИ""",Общественная организация,1,00,Министерство юстиции,subsidies
2014,315,"Общероссийская общественно-государственная организация ""Российское военно-историческое общество""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2015,341.948689,"Общероссийская общественно-государственная организация ""Российское военно-историческое общество""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2016,318.4384,"Общероссийская общественно-государственная организация ""Российское военно-историческое общество""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2017,740.8971,"Общероссийская общественно-государственная организация ""Российское военно-историческое общество""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2014,500,"Общероссийское общественное движение ""Гражданское достоинство""",Общественное движение,13,00,Министерство юстиции,subsidies
2015,528.525,"Общероссийское общественное движение ""Гражданское достоинство""",Общественное движение,13,00,Министерство юстиции,subsidies
2016,500,"Общероссийское общественное движение ""Гражданское достоинство""",Общественное движение,13,00,Министерство юстиции,subsidies
2013,1023.35,"Общероссийская общественно-государственная организация ""Добровольное общество содействия армии, авиации и флоту России""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2014,164.3215,"Общероссийская общественно-государственная организация ""Добровольное общество содействия армии, авиации и флоту России""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2015,122.6893,"Общероссийская общественно-государственная организация ""Добровольное общество содействия армии, авиации и флоту России""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2016,156.1194,"Общероссийская общественно-государственная организация ""Добровольное общество содействия армии, авиации и флоту России""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2017,11.8531,"Общероссийская общественно-государственная организация ""Добровольное общество содействия армии, авиации и флоту России""",Общественно-государственное общественное объединение,23,00,Министерство юстиции,subsidies
2001,1454.308436,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,Политическая партия,12,00,Министерство юстиции,subsidies
2014,150,"Автономная некоммерческая организация ""Транспортная дирекция чемпионата мира по футболу 2018 года в Российской Федерации""",Автономная некоммерческая организация,4,77,Москва,subsidies
2015,55.9536,"Автономная некоммерческая организация ""Транспортная дирекция чемпионата мира по футболу 2018 года в Российской Федерации""",Автономная некоммерческая организация,4,77,Москва,subsidies
2016,148.1435,"Автономная некоммерческая организация ""Транспортная дирекция чемпионата мира по футболу 2018 года в Российской Федерации""",Автономная некоммерческая организация,4,77,Москва,subsidies
2017,145.348,"Автономная некоммерческая организация ""Транспортная дирекция чемпионата мира по футболу 2018 года в Российской Федерации""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,650,"Общероссийская общественная организация - Общество ""Знание"" России",Общественная организация,1,00,Министерство юстиции,subsidies
2015,695.64,"Общероссийская общественная организация - Общество ""Знание"" России",Общественная организация,1,00,Министерство юстиции,subsidies
2014,203.741824,"Негосударственное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов""",Учреждение,8,78,Санкт-Петербург,subsidies
2015,213.8871,"Негосударственное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов""",Учреждение,8,78,Санкт-Петербург,subsidies
2016,355.6663,"Негосударственное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов""",Учреждение,8,78,Санкт-Петербург,subsidies
2017,363.9514,"Негосударственное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов""",Учреждение,8,78,Санкт-Петербург,subsidies
2014,97.5,"Автономная некоммерческая организация ""Фестиваль ""Золотая маска""",Автономная некоммерческая организация,4,77,Москва,subsidies
2015,99,"Автономная некоммерческая организация ""Фестиваль ""Золотая маска""",Автономная некоммерческая организация,4,77,Москва,subsidies
2016,89,"Автономная некоммерческая организация ""Фестиваль ""Золотая маска""",Автономная некоммерческая организация,4,77,Москва,subsidies
2017,89.25,"Автономная некоммерческая организация ""Фестиваль ""Золотая маска""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,160,"Автономная некоммерческая организация ""Редакция Телеканала Совета Федерации""",Автономная некоммерческая организация,4,77,Москва,subsidies
2015,184.8935,"Автономная некоммерческая организация ""Редакция Телеканала Совета Федерации""",Автономная некоммерческая организация,4,77,Москва,subsidies
2016,420,"Автономная некоммерческая организация ""Редакция Телеканала Совета Федерации""",Автономная некоммерческая организация,4,77,Москва,subsidies
2017,210,"Автономная некоммерческая организация ""Редакция Телеканала Совета Федерации""",Автономная некоммерческая организация,4,77,Москва,subsidies
2013,104.5089,Южный научный центр Российской академии наук,Учреждение,8,61,Ростовская область,subsidies
2014,281.26034975,Южный научный центр Российской академии наук,Учреждение,8,61,Ростовская область,subsidies
2015,0.8558492,Южный научный центр Российской академии наук,Учреждение,8,61,Ростовская область,subsidies
2016,139.4616352,Южный научный центр Российской академии наук,Учреждение,8,61,Ростовская область,subsidies
2017,271.947843,Южный научный центр Российской академии наук,Учреждение,8,61,Ростовская область,subsidies
2014,268,"Учреждение ""Центр восстановительной терапии для воинов интернационалистов им. М.А. Лиходея""",Учреждение,8,50,Московская область,subsidies
2015,270,"Учреждение ""Центр восстановительной терапии для воинов интернационалистов им. М.А. Лиходея""",Учреждение,8,50,Московская область,subsidies
2016,270,"Учреждение ""Центр восстановительной терапии для воинов интернационалистов им. М.А. Лиходея""",Учреждение,8,50,Московская область,subsidies
2015,365,"Общественная организация - ""Союз женщин России""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,400.0048,"Общественная организация - ""Союз женщин России""",Общественная организация,1,00,Министерство юстиции,subsidies
2017,18,"Общественная организация - ""Союз женщин России""",Общественная организация,1,00,Министерство юстиции,subsidies
2014,160.23473438,"Автономная некоммерческая организация ""Агентство стратегических инициатив по продвижению новых проектов""",Автономная некоммерческая организация,4,77,Москва,subsidies
2016,115,"Автономная некоммерческая организация ""Агентство стратегических инициатив по продвижению новых проектов""",Автономная некоммерческая организация,4,77,Москва,subsidies
2017,495,"Автономная некоммерческая организация ""Агентство стратегических инициатив по продвижению новых проектов""",Автономная некоммерческая организация,4,77,Москва,subsidies
2013,124.1206,"Федеральное агентство по правовой защите результатов интеллектуальной деятельности военного, специального и двойного назначения при Министерстве юстиции Российской Федерации",Государственно-общественное объединение,31,00,Министерство юстиции,subsidies
2015,110.9884,"Федеральное агентство по правовой защите результатов интеллектуальной деятельности военного, специального и двойного назначения при Министерстве юстиции Российской Федерации",Государственно-общественное объединение,31,00,Министерство юстиции,subsidies
2016,99,"Федеральное агентство по правовой защите результатов интеллектуальной деятельности военного, специального и двойного назначения при Министерстве юстиции Российской Федерации",Государственно-общественное объединение,31,00,Министерство юстиции,subsidies
2017,301.3841,"Федеральное агентство по правовой защите результатов интеллектуальной деятельности военного, специального и двойного назначения при Министерстве юстиции Российской Федерации",Государственно-общественное объединение,31,00,Министерство юстиции,subsidies
2016,121.3,"Автономная некоммерческая организация ""Дирекция по организации и проведению международных фестивалей""Медиафест""",Автономная некоммерческая организация,4,77,Москва,subsidies
2017,125,"Автономная некоммерческая организация ""Дирекция по организации и проведению международных фестивалей""Медиафест""",Автономная некоммерческая организация,4,77,Москва,subsidies
2015,322.2,"Автономная некоммерческая организация по созданию и восстановлению духовно-просветительских центров ""Валаам""",Автономная некоммерческая организация,4,78,Санкт-Петербург,subsidies
2017,361.1,"Автономная некоммерческая организация по созданию и восстановлению духовно-просветительских центров ""Валаам""",Автономная некоммерческая организация,4,78,Санкт-Петербург,subsidies
2013,142.2019,"Фонд поддержки и защиты прав соотечественников, проживающих за рубежом",Некоммерческий фонд,6,77,Москва,subsidies
2015,127.9817,"Фонд поддержки и защиты прав соотечественников, проживающих за рубежом",Некоммерческий фонд,6,77,Москва,subsidies
2016,125.1377,"Фонд поддержки и защиты прав соотечественников, проживающих за рубежом",Некоммерческий фонд,6,77,Москва,subsidies
2017,119.6675,"Фонд поддержки и защиты прав соотечественников, проживающих за рубежом",Некоммерческий фонд,6,77,Москва,subsidies
2016,649.9,"Общероссийская общественная организация ""Российский Союз ректоров""",Общественная организация,1,00,Министерство юстиции,subsidies
2015,10.118,"Общероссийская общественная организация ""Федерация фигурного катания на коньках России""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,17.184,"Общероссийская общественная организация ""Федерация фигурного катания на коньках России""",Общественная организация,1,00,Министерство юстиции,subsidies
2017,15,"Общероссийская общественная организация ""Федерация фигурного катания на коньках России""",Общественная организация,1,00,Министерство юстиции,subsidies
2015,115.575,"Автономная некоммерческая организация ""Агентство по развитию человеческого капитала на Дальнем Востоке""",Автономная некоммерческая организация,4,77,Москва,subsidies
2016,259.648,"Автономная некоммерческая организация ""Агентство по развитию человеческого капитала на Дальнем Востоке""",Автономная некоммерческая организация,4,77,Москва,subsidies
2017,252.02,"Автономная некоммерческая организация ""Агентство по развитию человеческого капитала на Дальнем Востоке""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,141.1452,"Автономная некоммерческая организация ""Исполнительная дирекция XXIX Всемирной зимней универсиады 2019 года в г. Красноярске""",Автономная некоммерческая организация,4,24,Красноярский край,subsidies
2016,130.131,"Автономная некоммерческая организация ""Исполнительная дирекция XXIX Всемирной зимней универсиады 2019 года в г. Красноярске""",Автономная некоммерческая организация,4,24,Красноярский край,subsidies
2017,340.031,"Автономная некоммерческая организация ""Исполнительная дирекция XXIX Всемирной зимней универсиады 2019 года в г. Красноярске""",Автономная некоммерческая организация,4,24,Красноярский край,subsidies
2015,64.2,"Фонд ""Центр стратегических разработок""",Некоммерческий фонд,6,77,Москва,subsidies
2014,157.9465,"Общероссийская спортивная общественная организация Федерация пулевой и стендовой стрельбы ""Стрелковый Союз России""",Общественная организация,1,00,Министерство юстиции,subsidies
2015,137.6024,"Общероссийская спортивная общественная организация Федерация пулевой и стендовой стрельбы ""Стрелковый Союз России""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,142.1519,"Общероссийская спортивная общественная организация Федерация пулевой и стендовой стрельбы ""Стрелковый Союз России""",Общественная организация,1,00,Министерство юстиции,subsidies
2017,126.6397,"Общероссийская спортивная общественная организация Федерация пулевой и стендовой стрельбы ""Стрелковый Союз России""",Общественная организация,1,00,Министерство юстиции,subsidies
2015,506.325577,"Некоммерческое партнерство содействия развитию культуры и искусства ""Содружество - 21 век""",Некоммерческое партнерство,5,77,Москва,subsidies
2016,15.64726,"Некоммерческое партнерство содействия развитию культуры и искусства ""Содружество - 21 век""",Некоммерческое партнерство,5,77,Москва,subsidies
2016,2,"Автономная некоммерческая организация дополнительного профессионального образования ""Институт проблем образовательной политики ""Эврика""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,23.435,"Православная религиозная организация Церковно-научный центр ""Православная энциклопедия""",Религиозная организация,3,00,Министерство юстиции,subsidies
2015,30,"Православная религиозная организация Церковно-научный центр ""Православная энциклопедия""",Религиозная организация,3,00,Министерство юстиции,subsidies
2016,21.4802,"Православная религиозная организация Церковно-научный центр ""Православная энциклопедия""",Религиозная организация,3,00,Министерство юстиции,subsidies
2016,480.01,"Фонд поддержки гражданской активности в малых городах и сельских территориях ""Перспектива""",Некоммерческий фонд,6,77,Москва,subsidies
2014,197.7,Автономная некоммерческая организация Центральная клиническая больница Святителя Алексия Митрополита Московского Московской Патриархии Русской Православной Церкви,Автономная некоммерческая организация,4,77,Москва,subsidies
2015,177.93,Автономная некоммерческая организация Центральная клиническая больница Святителя Алексия Митрополита Московского Московской Патриархии Русской Православной Церкви,Автономная некоммерческая организация,4,77,Москва,subsidies
2016,33.821,Автономная некоммерческая организация Центральная клиническая больница Святителя Алексия Митрополита Московского Московской Патриархии Русской Православной Церкви,Автономная некоммерческая организация,4,77,Москва,subsidies
2017,69.5232,Автономная некоммерческая организация Центральная клиническая больница Святителя Алексия Митрополита Московского Московской Патриархии Русской Православной Церкви,Автономная некоммерческая организация,4,77,Москва,subsidies
2014,8,"Некоммерческое партнерство Спортивный клуб ""Скиф""",Некоммерческое партнерство,5,77,Москва,subsidies
